"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","A/AA (National)","17758","17758","Operations Support Officer","3.03","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","A/AA (National)","17758","17758","Senior Operational Manager","2.78","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","A/AA Legacy (National)","16484","16484","Operations Support Officer","4.41","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","B/AO (National)","18478","19983","Operations Support Officer","1285.40","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","B/AO Legacy (National)","16845","19583","Operations Support Officer","327.08","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","C/EO (National)","24476","26061","Operational Manager","353.14","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","C/EO (National)","24476","26061","Operations Support Officer","101.96","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","C/EO Legacy (National)","22312","25358","Operational Manager","48.15","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","D/HEO (National)","28307","32239","Operational Manager","63.42","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","D/HEO Legacy (National)","25805","31186","Operational Manager","3.11","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","E/SEO (National)","32566","38700","Operational Manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","E/SEO (National)","32566","38700","Senior Operational Manager","14.27","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","F/G7 (National)","45905","56707","Senior Operational Manager","8.79","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","G/G6 (National)","56706","69407","Senior Operational Manager","2.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP26","G/G6 Auditor MIIA (National)","62634","72588","Senior Operational Manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","A/AA (National)","17758","17758","Operational Manager","4.05","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","A/AA (National)","17758","17758","Operations Support Officer","28.51","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","A/AA Legacy (National)","16484","16484","Operations Support Officer","10.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","A/AA SGB2 (National)","17758","17758","Operations Support Officer","4.14","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","B/AO (London Other)","21394","23344","Operations Support Officer","19.27","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","B/AO (National)","18478","19983","Operations Support Officer","600.59","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","B/AO Legacy (National)","16845","19583","Operations Support Officer","276.74","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","B/AO Personal Secretary Legacy (National)","16845","19583","Operations Support Officer","0.80","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","C/EO (London Other)","25914","29580","Operational Manager","6.52","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","C/EO (National)","24476","26061","Operational Manager","151.26","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","C/EO (National)","24476","26061","Operations Support Officer","6.28","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","C/EO Legacy (National)","22312","25358","Operational Manager","59.28","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","D/HEO (London Other)","31079","35865","Operational Manager","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","D/HEO (National)","28307","32239","Operational Manager","37.84","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","D/HEO Legacy (National)","25805","31186","Operational Manager","1.57","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","E/SEO (National)","32566","38700","Operational Manager","2.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","E/SEO (National)","32566","38700","Operations Support Officer","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","E/SEO (National)","32566","38700","Senior Operational Manager","5.46","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","F/G7 (National)","45905","56707","Senior Operational Manager","4.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","DWP306","G/G6 (National)","56706","69407","Senior Operational Manager","3.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP202","B/AO (London Inner)","22649","23457","Directors Office","0.83","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP202","C/EO (London Inner)","27485","30195","Directors Office","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP202","D/HEO (London Inner)","32430","36478","Directors Office","0.67","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP202","E/SEO (London Inner)","36852","42841","Directors Office","1.65","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP202","G/G6 (London Inner)","61852","74957","Directors Office","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP43","C/EO (London Inner)","27485","30195","Operations Support Officer","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP379","B/AO (London Inner)","22649","23457","Directors Office","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP379","C/EO (London Inner)","27485","30195","Directors Office","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP379","C/EO (National)","24476","26061","Directors Office","3.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP379","D/HEO (National)","28307","32239","Directors Office","2.92","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP379","E/SEO (National)","32566","38700","Directors Office","3.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP379","F/G7 (London Other)","49309","60379","Directors Office","1.03","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP379","F/G7 (National)","45905","56707","Directors Office","0.92","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP14","B/AO (National)","18478","19983","Directors Office","2.97","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP14","C/EO (National)","24476","26061","Directors Office","17.76","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP14","C/EO Legacy (National)","22312","25358","Directors Office","0.75","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP14","D/HEO (National)","28307","32239","Directors Office","7.65","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP14","E/SEO (National)","32566","38700","Directors Office","6.95","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP14","F/G7 (National)","45905","56707","Directors Office","3.76","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP14","G/G6 (National)","56706","69407","Directors Office","4.86","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP14","C/EO (London Other)","25914","29580","Directors Office","2.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP249","B/AO (National)","18478","19983","Directors Office","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP249","C/EO (National)","24476","26061","Directors Office","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP249","E/SEO (National)","32566","38700","Directors Office","0.97","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP249","E/SEO (National)","32566","38700","Directors Office","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP448","B/AO (National)","18478","19983","Directors Office","0.77","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP448","C/EO (London Inner)","27485","30195","Directors Office","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP448","C/EO (National)","24476","26061","Directors Office","0.81","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP448","E/SEO (London Inner)","36852","42841","Directors Office","3.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP448","E/SEO (London Other)","35952","41594","Directors Office","0.51","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP448","F/G7 (London Inner)","50476","61530","Directors Office","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Operations - Support","DWP448","F/G7 (National)","45905","56707","Directors Office","1.00","Operational Delivery"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","C/EO (National)","24476","26061","Diary Manager","2.23","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","D/HEO (London Inner)","32430","36478","Business Partner","10.03","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","D/HEO (London Inner)","32430","36478","Diary Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","D/HEO (National)","28307","32239","Business Partner","12.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","D/HEO FS HEO (D) (London Inner)","28131","39918","Business Partner","12.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","D/HEO FS HEO (D) (National)","28131","39918","Business Partner","12.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","E/SEO (London Inner)","36852","42841","Assistant Private Secretary","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","E/SEO (London Inner)","36852","42841","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","E/SEO (National)","32566","38700","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","F/G7 (London Inner)","50476","61530","Business Partner","2.89","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","F/G7 (London Inner)","50476","61530","Private Secretary","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","F/G7 (National)","45905","56707","Business Partner","5.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP130","G/G6 (London Inner)","61852","74957","Business Partner","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP120","C/EO (National)","24476","26061","Aide","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP120","D/HEO FS HEO (D) (National)","28131","39918","Business Partner","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP120","E/SEO (London Inner)","36852","42841","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP120","E/SEO (National)","32566","38700","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP120","F/G7 (National)","45905","56707","Senior HR Manager","3.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP504","C/EO (National)","24476","26061","HR Support Officer","2.27","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP504","C/EO Legacy (National)","22312","25358","HR Support Officer","0.73","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP504","D/HEO (London Inner)","32430","36478","HR Support Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP504","D/HEO (National)","28307","32239","HR Support Officer","5.81","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP504","E/SEO (London Inner)","36852","42841","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP504","E/SEO (National)","32566","38700","Business Partner","10.42","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP504","E/SEO Senior Psychologist (National)","35326","43199","Business Partner","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP504","F/G7 (London Inner)","50476","61530","Business Partner","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP504","F/G7 (National)","45905","56707","Business Partner","15.78","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP504","G/G6 (London Inner)","61852","74957","Business Partner","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP504","G/G6 (National)","56706","69407","Business Partner","5.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","C/EO (London Inner)","27485","30195","HR Support Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","C/EO (National)","24476","26061","HR Support Officer","3.33","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","C/EO Legacy (National)","22312","25358","HR Support Officer","0.92","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","D/HEO (London Inner)","32430","36478","HR Support Officer","4.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","D/HEO (National)","28307","32239","HR Support Officer","12.46","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","E/SEO (London Inner)","36852","42841","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","E/SEO (London Other)","35952","41594","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","E/SEO (National)","32566","38700","Business Partner","24.57","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","E/SEO Senior Psychologist (National)","35326","43199","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","F/G7 (London Inner)","50476","61530","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","F/G7 (London Other)","49309","60379","Business Partner","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","F/G7 (National)","45905","56707","Business Partner","12.71","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","G/G6 (London Inner)","61852","74957","Business Partner","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP119","G/G6 (National)","56706","69407","Business Partner","4.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP127","C/EO (London Inner)","27485","30195","Business Partner","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP127","C/EO (National)","24476","26061","Business Partner","3.60","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP127","D/HEO (National)","28307","32239","Business Partner","4.55","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP127","E/SEO (National)","32566","38700","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP127","F/G7 (London Other)","49309","60379","Business Partner","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP127","F/G7 (National)","45905","56707","Business Partner","2.92","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP127","G/G6 (National)","56706","69407","Business Manager","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","C/EO (London Inner)","27485","30195","HR Support Officer","4.03","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","C/EO (National)","24476","26061","HR Support Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","C/EO Legacy (National)","22312","25358","HR Officer","0.61","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","D/HEO (London Inner)","32430","36478","HR Officer","4.63","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","D/HEO (National)","28307","32239","HR Officer","3.65","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","D/HEO (National)","28307","32239","HR Support Officer","0.54","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","E/SEO (London Inner)","36852","42841","HR Officer","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","E/SEO (National)","32566","38700","Business Partner","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","E/SEO (National)","32566","38700","HR Officer","3.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","F/G7 (London Inner)","50476","61530","Business Partner","2.83","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","F/G7 (National)","45905","56707","Business Partner","3.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","F/G7 (National)","45905","56707","Senior HR Manager","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","G/G6 (London Inner)","61852","74957","Senior HR Manager","2.71","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP129","G/G6 (National)","56706","69407","Senior HR Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","B/AO (London Inner)","22649","23457","HR Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","B/AO (London Inner)","22649","23457","Implementation Team","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","B/AO (National)","18478","19983","HR Support Officer","1.54","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","B/AO (National)","18478","19983","Implementation Team","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","C/EO (London Inner)","27485","30195","HR Officer","4.42","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","C/EO (London Inner)","27485","30195","HR Support Officer","1.83","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","C/EO (London Other)","25914","29580","Implementation Team","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","C/EO (National)","24476","26061","HR Officer","11.19","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","C/EO (National)","24476","26061","HR Support Officer","1.79","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","C/EO (National)","24476","26061","Implementation Team","9.37","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","C/EO FT Apprentice (National)","24476","26061","HR Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","C/EO Legacy (National)","22312","25358","HR Officer","0.49","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","C/EO Legacy (National)","22312","25358","Implementation Team","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO (London Inner)","32430","36478","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO (London Inner)","32430","36478","Directors Office","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO (London Inner)","32430","36478","HR Officer","6.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO (London Inner)","32430","36478","Senior HR Manager","2.94","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO (London Other)","31079","35865","HR Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO (National)","28307","32239","Business Manager","2.97","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO (National)","28307","32239","Business Partner","6.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO (National)","28307","32239","HR Officer","33.78","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO (National)","28307","32239","Implementation Team","2.80","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO (National)","28307","32239","Policy Adviser","4.41","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO (National)","28307","32239","Senior HR Manager","5.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO Accountant (Qualified) (National)","28307","32239","HR Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO Legacy (National)","25805","31186","HR Officer","0.61","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","D/HEO Legacy (National)","25805","31186","Senior HR Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","E/SEO (London Inner)","36852","42841","HR Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","E/SEO (London Inner)","36852","42841","Policy Adviser","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","E/SEO (London Other)","35952","41594","Business Partner","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","E/SEO (National)","32566","38700","Business Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","E/SEO (National)","32566","38700","Business Partner","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","E/SEO (National)","32566","38700","HR Officer","9.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","E/SEO (National)","32566","38700","Policy Adviser","9.75","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","E/SEO (National)","32566","38700","Senior HR Manager","5.79","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","E/SEO (Spec Loc Pay Zone)","34668","41104","Senior HR Manager","0.65","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","F/G7 (London Inner)","50476","61530","Senior HR Manager","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","F/G7 (London Other)","49309","60379","Business Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","F/G7 (National)","45905","56707","HR Officer","4.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","F/G7 (National)","45905","56707","Senior HR Manager","3.97","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP298","G/G6 (National)","56706","69407","Senior HR Manager","2.49","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP124","D/HEO (National)","28307","32239","Programme Support Officer","0.92","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP124","D/HEO FS HEO (D) (London Inner)","28131","39918","HR Officer","0.75","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP124","D/HEO FS HEO (D) (National)","28131","39918","HR Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP124","E/SEO (National)","32566","38700","Strand Manager","1.83","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP124","F/G7 (National)","45905","56707","Programme Officer Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP124","G/G6 (National)","56706","69407","Programme Manager","0.90","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","B/AO (National)","18478","19983","HR Support Officer","8.83","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","C/EO (London Inner)","27485","30195","HR Support Officer","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","C/EO (National)","24476","26061","HR Support Officer","7.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","D/HEO (National)","28307","32239","HR Officer","4.81","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","E/SEO (National)","32566","38700","HR Officer","5.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","F/G7 (London Inner)","50476","61530","Senior HR Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","F/G7 (National)","45905","56707","Senior HR Manager","3.74","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","G/G6 (London Inner)","61852","74957","Senior HR Manager","0.78","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","G/G6 (National)","56706","69407","Senior HR Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP128","B/AO (London Inner)","22649","23457","HR Support Officer","0.72","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP128","C/EO (National)","24476","26061","HR Support Officer","0.57","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP128","C/EO (National)","24476","26061","Programme Support Officer","0.59","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP128","D/HEO (National)","28307","32239","Programme Manager","2.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP128","D/HEO FS HEO (D) (National)","28131","39918","Programme Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP128","E/SEO (National)","32566","38700","Business Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP128","F/G7 (National)","45905","56707","Programme Officer Manager","0.92","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","B/AO (London Inner)","22649","23457","Diary Manager","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","C/EO (London Inner)","27485","30195","Directors Office","1.00","Human Resources"
"Department for Work and Pensions","Department for Work and Pensions","Human Resources","DWP311","C/EO (London Inner)","27485","30195","HR Support Officer","1.00","Human Resources"
