Member_of_the_58th_Parliament_of_the_United_Kingdom,Member_of_the_58th_Parliament_of_the_United_KingdomLabel,date_of_birth
http://www.wikidata.org/entity/Q266978,Valerie Vaz,1954-12-07T00:00:00Z
http://www.wikidata.org/entity/Q267234,Shailesh Vara,1960-09-04T00:00:00Z
http://www.wikidata.org/entity/Q267930,Yasmin Qureshi,1963-07-05T00:00:00Z
http://www.wikidata.org/entity/Q268030,Alun Cairns,1970-07-30T00:00:00Z
http://www.wikidata.org/entity/Q268196,Alan Campbell,1957-07-08T00:00:00Z
http://www.wikidata.org/entity/Q268465,Gregory Campbell,1953-02-15T00:00:00Z
http://www.wikidata.org/entity/Q268584,Dominic Raab,1974-02-25T00:00:00Z
http://www.wikidata.org/entity/Q269124,Alistair Carmichael,1965-07-15T00:00:00Z
http://www.wikidata.org/entity/Q269449,Bill Cash,1940-05-10T00:00:00Z
http://www.wikidata.org/entity/Q269697,Liam Byrne,1970-10-02T00:00:00Z
http://www.wikidata.org/entity/Q269853,Robert Buckland,1968-09-22T00:00:00Z
http://www.wikidata.org/entity/Q269925,Conor Burns,1972-09-24T00:00:00Z
http://www.wikidata.org/entity/Q271683,Rehman Chishti,1978-10-04T00:00:00Z
http://www.wikidata.org/entity/Q271715,Christopher Chope,1947-05-19T00:00:00Z
http://www.wikidata.org/entity/Q271800,Greg Clark,1967-08-28T00:00:00Z
http://www.wikidata.org/entity/Q272098,Derek Twigg,1959-07-09T00:00:00Z
http://www.wikidata.org/entity/Q272123,Karl Turner,1971-04-15T00:00:00Z
http://www.wikidata.org/entity/Q272234,Jon Trickett,1950-07-02T00:00:00Z
http://www.wikidata.org/entity/Q272288,Justin Tomlinson,1976-11-05T00:00:00Z
http://www.wikidata.org/entity/Q272318,Edward Timpson,1973-12-26T00:00:00Z
http://www.wikidata.org/entity/Q272346,Stephen Timms,1955-07-29T00:00:00Z
http://www.wikidata.org/entity/Q272408,Emily Thornberry,1960-07-27T00:00:00Z
http://www.wikidata.org/entity/Q272452,Gareth Thomas,1967-07-15T00:00:00Z
http://www.wikidata.org/entity/Q272569,Mark Tami,1962-10-03T00:00:00Z
http://www.wikidata.org/entity/Q272643,Stephen Metcalfe,1966-01-09T00:00:00Z
http://www.wikidata.org/entity/Q285183,Geoffrey Clifton-Brown,1953-03-23T00:00:00Z
http://www.wikidata.org/entity/Q290554,Thérèse Coffey,1971-11-18T00:00:00Z
http://www.wikidata.org/entity/Q290646,Damian Collins,1974-02-04T00:00:00Z
http://www.wikidata.org/entity/Q290855,Rosie Cooper,1950-09-05T00:00:00Z
http://www.wikidata.org/entity/Q291057,Yvette Cooper,1969-03-20T00:00:00Z
http://www.wikidata.org/entity/Q291303,Geoffrey Cox,1960-04-30T00:00:00Z
http://www.wikidata.org/entity/Q291393,Stephen Crabb,1973-01-20T00:00:00Z
http://www.wikidata.org/entity/Q291502,Stella Creasy,1977-04-05T00:00:00Z
http://www.wikidata.org/entity/Q291557,Tracey Crouch,1975-07-24T00:00:00Z
http://www.wikidata.org/entity/Q291591,Jon Cruddas,1962-04-07T00:00:00Z
http://www.wikidata.org/entity/Q291615,John Cryer,1964-04-11T00:00:00Z
http://www.wikidata.org/entity/Q291649,Alex Cunningham,1955-05-01T00:00:00Z
http://www.wikidata.org/entity/Q296689,Ed Davey,1965-12-25T00:00:00Z
http://www.wikidata.org/entity/Q296716,Wayne David,1957-07-01T00:00:00Z
http://www.wikidata.org/entity/Q296797,David Davies,1970-06-27T00:00:00Z
http://www.wikidata.org/entity/Q296866,Geraint Davies,1960-05-03T00:00:00Z
http://www.wikidata.org/entity/Q300004,Philip Davies,1972-01-05T00:00:00Z
http://www.wikidata.org/entity/Q300023,David Davis,1948-12-23T00:00:00Z
http://www.wikidata.org/entity/Q574980,Jacob Rees-Mogg,1969-05-24T00:00:00Z
http://www.wikidata.org/entity/Q575183,Mark Pritchard,1966-11-22T00:00:00Z
http://www.wikidata.org/entity/Q575239,Daniel Poulter,1978-10-30T00:00:00Z
http://www.wikidata.org/entity/Q575266,Christopher Pincher,1969-09-24T00:00:00Z
http://www.wikidata.org/entity/Q575337,Bridget Phillipson,1983-12-19T00:00:00Z
http://www.wikidata.org/entity/Q575462,Toby Perkins,1970-08-12T00:00:00Z
http://www.wikidata.org/entity/Q575493,Andrew Percy,1977-09-18T00:00:00Z
http://www.wikidata.org/entity/Q575513,John Penrose,1964-06-22T00:00:00Z
http://www.wikidata.org/entity/Q575593,Mike Penning,1957-09-28T00:00:00Z
http://www.wikidata.org/entity/Q575693,Mark Pawsey,1957-01-16T00:00:00Z
http://www.wikidata.org/entity/Q575733,Priti Patel,1972-03-29T00:00:00Z
http://www.wikidata.org/entity/Q575881,Ian Paisley Jr,1966-12-12T00:00:00Z
http://www.wikidata.org/entity/Q576195,Guy Opperman,1965-05-18T00:00:00Z
http://www.wikidata.org/entity/Q576208,Chi Onwurah,1965-04-12T00:00:00Z
http://www.wikidata.org/entity/Q576537,Matthew Offord,1969-09-03T00:00:00Z
http://www.wikidata.org/entity/Q577024,Jesse Norman,1962-06-23T00:00:00Z
http://www.wikidata.org/entity/Q577227,Caroline Nokes,1972-06-26T00:00:00Z
http://www.wikidata.org/entity/Q577771,Bob Neill,1952-06-24T00:00:00Z
http://www.wikidata.org/entity/Q578037,Lisa Nandy,1979-08-09T00:00:00Z
http://www.wikidata.org/entity/Q578234,Andrew Murrison,1961-04-24T00:00:00Z
http://www.wikidata.org/entity/Q578272,Sheryll Murray,1956-02-04T00:00:00Z
http://www.wikidata.org/entity/Q578432,Ian Murray,1976-08-10T00:00:00Z
http://www.wikidata.org/entity/Q580086,James Morris,1967-02-04T00:00:00Z
http://www.wikidata.org/entity/Q580215,Grahame Morris,1961-03-13T00:00:00Z
http://www.wikidata.org/entity/Q580247,David Morris,1966-01-03T00:00:00Z
http://www.wikidata.org/entity/Q580321,Anne Marie Morris,1957-07-05T00:00:00Z
http://www.wikidata.org/entity/Q580431,Jessica Morden,1968-05-29T00:00:00Z
http://www.wikidata.org/entity/Q580464,Penny Mordaunt,1973-03-04T00:00:00Z
http://www.wikidata.org/entity/Q580847,Nigel Mills,1974-10-28T00:00:00Z
http://www.wikidata.org/entity/Q581095,Kerry McCarthy,1965-03-26T00:00:00Z
http://www.wikidata.org/entity/Q583750,Mark Menzies,1971-05-18T00:00:00Z
http://www.wikidata.org/entity/Q583906,Ian Mearns,1957-04-21T00:00:00Z
http://www.wikidata.org/entity/Q584062,Esther McVey,1967-10-24T00:00:00Z
http://www.wikidata.org/entity/Q584156,Stephen McPartland,1976-08-09T00:00:00Z
http://www.wikidata.org/entity/Q615077,John Healey,1960-02-13T00:00:00Z
http://www.wikidata.org/entity/Q673322,Chris Heaton-Harris,1967-11-28T00:00:00Z
http://www.wikidata.org/entity/Q673525,Gordon Henderson,1948-01-27T00:00:00Z
http://www.wikidata.org/entity/Q673628,Mark Hendrick,1958-11-02T00:00:00Z
http://www.wikidata.org/entity/Q676658,Meg Hillier,1969-02-14T00:00:00Z
http://www.wikidata.org/entity/Q676947,Damian Hinds,1969-11-27T00:00:00Z
